1.03	1.29
1.03	1.10
1.06	1.28
1.02	1.29
1.03	1.23
1.03	1.20
1.03	1.31
1.02	1.25
1.03	1.13
1.03	1.26
1.06	1.19
1.04	1.33
1.05	1.24
1.03	1.20
1.04	1.26
1.03	1.24
1.05	1.11
1.06	1.14
1.04	1.15
1.04	1.15
1.03	1.19
1.04	1.26
1.04	1.14
1.06	1.20
1.03	1.20
1.04	1.20
1.05	1.24
1.04	1.25
1.04	1.28
1.02	1.24
1.03	1.26
1.05	1.20
1.05	1.30
1.03	1.23
1.04	1.26
1.03	1.16
1.04	1.34
1.04	1.10
1.03	1.22
1.04	1.27
1.03	1.21
1.04	1.09
1.04	1.23
1.04	1.03
1.05	1.32
1.04	1.21
1.04	1.23
1.03	1.34
1.03	1.19
1.05	1.18
1.04	1.20
1.04	1.20
1.05	1.13
1.04	1.43
1.03	1.19
1.03	1.05
1.05	1.16
1.03	1.19
1.04	1.07
1.05	1.21
1.04	1.36
1.04	1.21
1.04	1.00
1.05	1.23
1.03	1.22
1.04	1.13
1.04	1.24
1.04	1.10
1.04	1.18
1.03	1.26
1.05	1.12
1.05	1.10
1.05	1.19
1.03	1.10
1.04	1.24
