6.7	9.5
5.4	10.7
5.2	8.3
6.0	9.8
8.7	9.1
6.0	9.4
6.4	9.6
8.3	11.9
5.3	9.5
5.9	12.6
7.6	10.5
5.0	8.9
6.9	11.4
6.8	12.0
4.9	12.4
6.3	9.9
5.0	10.9
6.0	12.3
7.2	11.0
8.0	9.2
8.1	9.3
7.2	9.3
10.9	10.5
9.2	9.4
8.6	9.4
6.2	8.2
6.1	10.4
6.5	9.3
7.8	8.7
6.2	9.8
8.5	9.1
6.4	2.9
8.1	9.8
2.1	5.7
6.1	8.2
6.5	8.1
7.9	8.8
14.1	9.7
9.5	8.1
10.6	8.8
8.4	10.3
8.3	8.6
5.9	10.2
6.0	9.4
6.4	14.8
3.9	9.9
9.9	9.3
7.6	8.2
6.8	9.9
8.6	11.6
8.5	8.7
11.2	5.0
7.0	9.9
7.1	6.3
6.0	6.5
9.0	10.2
10.1	8.8
8.0	8.0
6.8	8.7
7.3	8.9
9.7	6.8
9.3	6.6
3.2	7.3
6.4	16.7
